,Class-1,Class-2,Validation-Set_Accuracy
315,Z,P,0.4985507246376812
316,Z,Q,0.5089855072463768
317,Z,R,0.5101449275362319
318,Z,S,0.5171014492753623
319,Z,T,0.48057971014492756
320,Z,U,0.5165217391304348
321,Z,V,0.49391304347826087
322,Z,W,0.48579710144927535
323,Z,X,0.4881159420289855
324,Z,Y,0.5026086956521739
